id,username,email,provider,password,resetPasswordToken,confirmationToken,confirmed,blocked,role,birthdate,sex,name,nickname,userType,merchantApproved,merchantApprovedBy,merchantApprovedAt,merchantRejectedReason,created_by,updated_by,created_at,updated_at
145,vinicius.cavalcanti.mendes935,vinicius.cavalcanti.mendes935@outlook.com,local,$2a$10$MM7Y35LIwx94F5A.Knz9LuOo/j.cKwiRB12AATl8elcH9cXHFxihi,,,t,f,1,1996-04-16,Male,Vinicius Cavalcanti Mendes,vinicius4136,pilgrim,,,,,1,1,2024-12-03 12:50:22-03,2024-12-03 06:04:47-03
177,gustavo.ribeiro.cardoso369,gustavo.ribeiro.cardoso369@outlook.com,local,$2a$10$MM7Y35LIwx94F5A.Knz9LuOo/j.cKwiRB12AATl8elcH9cXHFxihi,,,t,f,1,1970-11-26,Male,Gustavo Ribeiro Cardoso,gustavo2454,pilgrim,,,,,1,1,2024-11-11 11:05:18-03,2025-01-30 15:04:59-03
144,cesar.mendes.pereira811,cesar.mendes.pereira811@gmail.com,local,$2a$10$MM7Y35LIwx94F5A.Knz9LuOo/j.cKwiRB12AATl8elcH9cXHFxihi,,,t,f,1,2007-06-21,Male,Cesar Mendes Pereira,cesar9211,pilgrim,,,,,1,1,2025-06-06 14:17:16-03,2025-06-23 07:47:23-03
147,pedro.pereira.rocha777,pedro.pereira.rocha777@gmail.com,local,$2a$10$MM7Y35LIwx94F5A.Knz9LuOo/j.cKwiRB12AATl8elcH9cXHFxihi,,,t,f,1,1986-04-13,Male,Pedro Pereira Rocha,pedro8065,pilgrim,,,,,1,1,2025-01-27 03:58:08-03,2025-01-27 06:29:34-03
18,marcos.alves.almeida793,marcos.alves.almeida793@gmail.com,local,$2a$10$MM7Y35LIwx94F5A.Knz9LuOo/j.cKwiRB12AATl8elcH9cXHFxihi,,,t,f,1,1940-06-02,Male,Marcos Alves Almeida,marcos,pilgrim,,,,,1,1,2025-06-20 12:59:19-03,2025-06-25 13:24:48-03
27,luiz.fernandes.gomes913,luiz.fernandes.gomes913@outlook.com,local,$2a$10$MM7Y35LIwx94F5A.Knz9LuOo/j.cKwiRB12AATl8elcH9cXHFxihi,,,t,f,1,1999-05-25,Male,Luiz Fernandes Gomes,luiz,pilgrim,,,,,1,1,2024-11-15 12:08:13-03,2024-11-15 12:23:56-03
154,priscila.ribeiro.monteiro575,priscila.ribeiro.monteiro575@hotmail.com,local,$2a$10$MM7Y35LIwx94F5A.Knz9LuOo/j.cKwiRB12AATl8elcH9cXHFxihi,,,t,f,1,1986-02-22,Female,Priscila Ribeiro Monteiro,priscila2051,pilgrim,,,,,1,1,2024-12-22 12:34:52-03,2024-12-22 12:51:30-03
157,rafael.barbosa.silva820,rafael.barbosa.silva820@yahoo.com.br,local,$2a$10$MM7Y35LIwx94F5A.Knz9LuOo/j.cKwiRB12AATl8elcH9cXHFxihi,,,t,f,1,1933-08-22,Male,Rafael Barbosa Silva,rafael4556,pilgrim,,,,,1,1,2024-12-22 13:16:26-03,2024-12-22 15:16:42-03
185,andre.ferreira.pinto122,andre.ferreira.pinto122@email.com,local,$2a$10$MM7Y35LIwx94F5A.Knz9LuOo/j.cKwiRB12AATl8elcH9cXHFxihi,,,t,f,1,1983-07-20,Male,André Ferreira Pinto,andre718,pilgrim,,,,,1,1,2025-01-14 07:21:29-03,2025-03-21 10:19:30-03
213,comerciante2@cora.com,comerciante2@cora.com,local,$2a$10$sVH2VCiybjguJKiKsrFaJOdeXrXjlfnQsx8cbrvN5BNT.oy616xtm,,,t,f,1,2001-01-13,Female,Comerciante Teste 02,ComercianteTeste02,merchant,t,211,2026-01-23 18:32:08-03,,1,1,2025-11-27 17:16:36-03,2026-01-24 09:24:27-03
55,simone.almeida.souza202,simone.almeida.souza202@hotmail.com,local,$2a$10$MM7Y35LIwx94F5A.Knz9LuOo/j.cKwiRB12AATl8elcH9cXHFxihi,,,t,f,1,2002-06-28,Female,Simone Almeida Souza,simone,pilgrim,,,,,1,1,2024-11-23 09:05:21-03,2024-11-23 07:13:36-03
146,aline.pereira.santos442,aline.pereira.santos442@gmail.com,local,$2a$10$MM7Y35LIwx94F5A.Knz9LuOo/j.cKwiRB12AATl8elcH9cXHFxihi,,,t,f,1,1985-06-17,Female,Aline Pereira Santos,aline6911,pilgrim,,,,,1,1,2025-04-02 11:24:01-03,2025-04-14 07:13:43-03
130,eduardo.cavalcanti.lima471,eduardo.cavalcanti.lima471@email.com,local,$2a$10$MM7Y35LIwx94F5A.Knz9LuOo/j.cKwiRB12AATl8elcH9cXHFxihi,,,t,f,1,2002-06-27,Male,Eduardo Cavalcanti Lima,eduardo6516,pilgrim,,,,,1,1,2025-12-03 07:26:10-03,2025-12-04 09:20:02-03
135,roberto.freitas.souza228,roberto.freitas.souza228@hotmail.com,local,$2a$10$MM7Y35LIwx94F5A.Knz9LuOo/j.cKwiRB12AATl8elcH9cXHFxihi,,,t,f,1,1996-06-26,Male,Roberto Freitas Souza,roberto1822,pilgrim,,,,,1,1,2025-01-22 11:41:17-03,2025-01-24 14:46:42-03
167,joao.cardoso.cardoso36,joao.cardoso.cardoso36@gmail.com,local,$2a$10$MM7Y35LIwx94F5A.Knz9LuOo/j.cKwiRB12AATl8elcH9cXHFxihi,,,t,f,1,2001-12-14,Male,João Cardoso Cardoso,joao3596,pilgrim,,,,,1,1,2025-10-08 06:30:47-03,2025-11-06 14:16:44-03
155,leandro.santos.castro12,leandro.santos.castro12@email.com,local,$2a$10$MM7Y35LIwx94F5A.Knz9LuOo/j.cKwiRB12AATl8elcH9cXHFxihi,,,t,f,1,1992-07-22,Male,Leandro Santos Castro,leandro942,merchant,t,211,2026-01-26 01:16:22-03,,1,1,2025-12-17 03:08:15-03,2026-01-30 05:49:31-03
32,claudia.rodrigues.dias982,claudia.rodrigues.dias982@yahoo.com.br,local,$2a$10$MM7Y35LIwx94F5A.Knz9LuOo/j.cKwiRB12AATl8elcH9cXHFxihi,,,t,f,1,1937-03-16,Female,Claudia Rodrigues Dias,claudia,pilgrim,,,,,1,1,2025-06-18 12:12:55-03,2025-07-14 06:33:39-03
113,amanda.castro.castro445,amanda.castro.castro445@email.com,local,$2a$10$MM7Y35LIwx94F5A.Knz9LuOo/j.cKwiRB12AATl8elcH9cXHFxihi,,,t,f,1,1986-02-20,Female,Amanda Castro Castro,amanda9044,pilgrim,,,,,1,1,2025-12-15 10:43:27-03,2025-12-28 09:18:15-03
